station,cluster,n_bins,anomaly_count,anomaly_freq,anomaly_days_ratio,mean_anomaly_score,max_anomaly_score,train_loss,val_loss,n_train_windows,downtime_ratio,max_continuous_downtime_hours,total_downtime_hours,fft_energy,fft_max_amp,fft_spectral_entropy,rmse_20min,rmse_1h,predicted_risk_score,health_tier
Unnamed (DNVBA1576 → AL739RG7),B_candidate,78732,788,0.0100086368947823,0.011872146118721462,1.0348349670378494,1.0937897163379255,0.00328244362026453,0.0028892054688185453,8000,0.28856536829926727,22.045,2049.2050000000004,114277378848.63889,28577.650808260198,8.659867435296741,0.0,4.830853103265428,0.4840024642753187,CRITICAL_OFFLINE
Valenzuela CENRO (ARCA North),B_candidate,78732,759,0.00964029873494894,0.010958904109589041,1.0300876554492024,1.0839550759230276,0.0037507875822484493,0.00306001421995461,8000,0.29305488768290167,21.715833333333332,1461.616666666667,106688741603.93613,23309.678531303663,8.983914577501805,0.0,7.4741488470196895,0.4806723606253835,CRITICAL_OFFLINE
Barangay Fortune - Santan Street,B_candidate,78732,778,0.009881623736219073,0.011872146118721462,1.0256060944808405,1.0694978925668566,0.004749173764139414,0.00294308690354228,8000,0.2859526029144792,22.049500000000002,1999.0203333333336,90441426842.31895,33723.53025641992,8.638667190847773,0.0,4.332524548808905,0.47950664468951365,CRITICAL_OFFLINE
Sta. Ana Hospital,A_high_freq,78732,486,0.006172839506172839,0.0073059360730593605,1.06803124859057,1.1488293576516662,0.012814904563128948,0.011403718963265419,8000,0.4852983157293749,28.208666666666666,1859.8386666666663,20269361161.034897,12405.002356304009,8.646529608123199,0.0,2.6634308665433872,0.47944808756410134,CRITICAL_OFFLINE
Sto. Rosario Bridge,B_candidate,78732,758,0.009627597419092618,0.010958904109589041,1.0322100859869028,1.0799979422744772,0.010204892605543137,0.003492991905659437,8000,0.2910827117677799,22.041999999999998,2093.2166666666662,109393534332.05176,34236.3477549637,8.951759977877451,0.0,6.263604196560613,0.4791293068192815,CRITICAL_OFFLINE
J.P. Rizal Avenue corner Pertierra,B_candidate,78732,769,0.009767311893512168,0.010958904109589041,1.0301794220411722,1.0711978444250823,0.004658504389226437,0.0025672330521047115,8000,0.2842428975885971,22.048000000000002,1995.8986666666667,69974030461.22485,27531.040454467107,8.982008532161649,0.0,5.283880808163359,0.47870101295286216,CRITICAL_OFFLINE
Anda Circle,A_high_freq,78732,484,0.006147436874460194,0.0073059360730593605,1.0439560114275086,1.086717296413604,0.011328831315040588,0.008803777396678925,8000,0.4852521408182683,27.876166666666666,1860.6864999999996,22099491185.440968,13330.81215312079,8.687768231393138,0.0,3.0668079051024013,0.47781436775886793,CRITICAL_OFFLINE
Santa Clara - Pasay City General Hospital,B_candidate,78732,736,0.009348168470253519,0.010958904109589041,1.0259570326413865,1.0496281206997198,0.00244906242005527,0.0015229482669383287,8000,0.2841477491342824,22.043833333333335,2019.967,199213856953.1921,60044.07655338252,9.203683882685493,0.0,11.485657293118397,0.477671743641606,CRITICAL_OFFLINE
World Trade Center,B_candidate,78732,781,0.00991972768378804,0.010958904109589041,1.0423514533917522,1.1074082320409977,0.0050412798300385475,0.004532212857156992,8000,0.28800936269815935,22.037166666666668,1831.8845000000001,55637464956.916245,18131.873932342285,8.677984214256345,0.0,3.8122105804904534,0.4764422965766752,CRITICAL_OFFLINE
Caloocan Sports Complex,B_candidate,78732,764,0.009703805314230554,0.010958904109589041,1.0207946619102846,1.0851139256287778,0.002986028091982007,0.002319202059879899,8000,0.28619017292901583,22.049666666666667,2003.707,152731110018.92352,39464.86640063961,8.867481393856249,0.0,6.977010458785044,0.475342911873548,CRITICAL_OFFLINE
3S Center Bagbaguin,B_candidate,78732,750,0.009525986892242036,0.010958904109589041,1.0296123849948318,1.0788577859870923,0.008692249655723572,0.005613090004771948,8000,0.28774579512577847,22.050333333333334,2007.6269999999997,110550770022.54913,30055.799621564725,8.919068178009088,0.0,6.07590930299664,0.47513130333808984,CRITICAL_OFFLINE
Barangay Tanza 2 Hall,B_candidate,78732,681,0.008649596098155769,0.010958904109589041,1.0982034306065929,1.127387661132636,0.01152719184756279,0.007450987119227648,8000,0.28766006426550284,22.04416666666667,2050.983333333333,197090773778.0596,37086.177829229964,9.180711618942732,0.0,9.757704125066793,0.4743696837785239,CRITICAL_OFFLINE
3S Center Ugong,B_candidate,78732,717,0.009106843468983387,0.010958904109589041,1.018177473945713,1.0436925028931672,0.007998890243470669,0.003941381350159645,8000,0.29649279308887744,22.0405,2152.2450000000003,127070469221.71854,26933.977170628994,8.99879283196262,0.0,6.302674472402871,0.4734251886802035,CRITICAL_OFFLINE
3S Center Paso De Blas,B_candidate,78732,736,0.009348168470253519,0.010958904109589041,1.0278414571730141,1.0714337005523762,0.004715146031230688,0.0020154376979917288,8000,0.28655660377358494,22.050333333333334,2001.0419999999997,114920928547.39233,27826.316920660684,8.910119604839203,0.0,6.173401711558943,0.4715420740834152,CRITICAL_OFFLINE
Along Shaw Blvd.,A_high_freq,78732,676,0.008586089518874155,0.01004566210045662,1.0539837821090565,1.118180686485737,0.004374580457806587,0.003753914264962077,8000,0.33175728920409775,12.875333333333334,1260.5953333333334,17121411187.315008,10089.058441308085,8.792700709018998,0.0,3.410520711548881,0.46978228003568534,CRITICAL_OFFLINE
San Juan Mini Park,B_candidate,78732,756,0.009602194787379973,0.010958904109589041,1.0567662535345557,1.0951083111652808,0.008089305832982063,0.005975079722702503,8000,0.28819360748204215,22.045333333333335,2040.6666666666672,77903904746.89919,23122.59760915813,8.491001396867539,0.0,3.3864119495014053,0.4685828455848227,CRITICAL_OFFLINE
J.P. Rizal Avenue corner Camia,B_candidate,78732,728,0.009246557943402936,0.010958904109589041,1.056398897355649,1.0903908508481401,0.007386703975498676,0.004409572575241327,8000,0.2852322738386308,22.048333333333336,2000.353333333333,51922816205.625,17453.294610954184,8.6771308249454,0.0,3.6298029324413474,0.4661533784631598,CRITICAL_OFFLINE
Bataan Tourism Park,A_high_freq,78732,684,0.008687700045724738,0.010958904109589041,1.091590128429239,1.093645937407136,0.011015918105840683,0.005005601793527603,8000,0.3305406721870433,12.873666666666667,1268.862,19643106509.795837,17810.46926480024,8.108516589549131,0.0,1.8196080324798813,0.46470109657105335,CRITICAL_OFFLINE
Makati Avenue - Buendia Avenue Intersection,B_candidate,78732,716,0.009094142153127064,0.010958904109589041,1.0237831975462655,1.0626358377941318,0.0024153979029506445,0.001868498045951128,8000,0.2854277747884362,22.048833333333334,1999.0649999999998,54958374478.02608,16534.656985799567,8.796578522805854,0.0,3.917722471742845,0.46385261480394135,CRITICAL_OFFLINE
C3 Road (5th Avenue) - Rizal Avenue Extension,B_candidate,78732,666,0.008459076360310928,0.01004566210045662,1.0280568908062324,1.0604980023520323,0.004741279873996973,0.0018668979173526168,8000,0.2952304571401614,22.041999999999998,2133.9279999999994,89426805678.18768,23532.101914056308,9.122302234053034,0.0,6.05705644505052,0.4598089650273634,CRITICAL_OFFLINE
Mandaluyong City,A_high_freq,78732,619,0.00786211451506376,0.010958904109589041,1.0355389587476433,1.1338286523250536,0.005747952964156866,0.0041074808686971664,8000,0.31854072963518243,11.541666666666666,1211.5,28659360334.708843,18099.297512800775,8.86341595300475,0.0,4.9126449634454366,0.459629913240032,CRITICAL_OFFLINE
Brgy. Ambassador,C_hourly,78732,883,0.011215261901132957,0.0136986301369863,1.0323569504781527,1.057660932488152,0.010140401311218739,0.0020483513362705708,8000,0.08742415885273025,231.0,782.0,164325065591.60272,63305.713247746186,8.067169813946794,0.0,0.0,0.4581049358350831,OCCASIONAL_OUTAGES
Rajah Sulayman Park,A_high_freq,78732,427,0.0054234618706498,0.006392694063926941,1.0154339815948108,1.1150790110998532,0.008779708296060562,0.006693661212921143,8000,0.47355630135400995,27.540000000000003,1493.3733333333334,15082234070.416718,11689.111735088092,8.482840986527064,0.0,2.020482373279234,0.4473462217554415,CRITICAL_OFFLINE
"Bo. Luz Barangay Hall, Limay",A_high_freq,78732,615,0.007811309251638469,0.0091324200913242,1.0557396498252234,1.0954231911562107,0.003206126391887665,0.0030207079835236073,8000,0.33206775700934577,13.206666666666667,1274.6399999999999,20019126350.41362,12309.340993291438,8.5510785591164,0.0,3.130457166144983,0.4457121311797615,CRITICAL_OFFLINE
"Monumento, Caloocan",A_high_freq,78732,708,0.008992531626276482,0.0091324200913242,1.0387968099949496,1.1195845479327782,0.003046108642593026,0.0033592148683965206,8000,0.28173506272591964,21.5425,999.8391666666665,43361254825.649765,15486.177103198448,8.610515955355172,0.0,4.9889479456274,0.44382467952403776,CRITICAL_OFFLINE
Barangay Buli - Concepcion Street,B_candidate,78732,655,0.008319361885891378,0.01004566210045662,1.0647912254631637,1.0802023010708752,0.010952805168926716,0.0050476305186748505,8000,0.2840101654478502,22.0475,1878.434166666667,54125949011.270966,32617.268127173982,8.565976150600036,0.0,4.04636192443644,0.4427160870368985,CRITICAL_OFFLINE
"Near Katipunan Ave., Quezon City",A_high_freq,78732,708,0.008992531626276482,0.0091324200913242,1.0504162795465293,1.1526849404778263,0.004756376147270203,0.004249962046742439,8000,0.2844383734370075,21.87366666666667,1018.8743333333334,14735753665.717299,8380.547678568537,8.413721203193061,0.0,1.9534181910443749,0.4412890966949675,CRITICAL_OFFLINE
Samal Municipal Hall,A_high_freq,78732,682,0.008662297414012091,0.010958904109589041,1.062980817726285,1.1964438640408976,0.005332239903509617,0.004707850981503725,8000,0.24694080035277255,21.872166666666665,851.8826666666665,12024369566.812191,9609.47280740761,8.3522585832022,0.0,2.185366315382307,0.4333541542657015,DEGRADED_OFFLINE
Gen. Luna St. corner Gov. Pascual Ave.,B_candidate,78732,530,0.006731697403851039,0.0091324200913242,1.0701372858560716,1.0722165264101309,0.010364042595028877,0.0058307587169110775,8000,0.29438594137769136,22.0425,1494.1516666666662,155415771048.54092,26847.50309542135,9.233960799688777,0.0,10.10920571805349,0.4328489791911123,CRITICAL_OFFLINE
