station,cluster,n_bins,anomaly_count,anomaly_freq,anomaly_days_ratio,mean_anomaly_score,max_anomaly_score,train_loss,val_loss,n_train_windows
Mandaluyong City,A_high_freq,78732,619,0.00786211451506376,0.010958904109589041,1.0355389587476433,1.1338286523250536,0.005747952964156866,0.0041074808686971664,8000
Mandaluyong Elementary School,B_candidate,78732,776,0.009856221104506426,0.011872146118721462,1.0219415025961658,1.0570396696357656,0.00344141386449337,0.002176502486690879,8000
Manila Observatory,C_hourly,78732,993,0.012612406645328455,0.015525114155251141,1.0158944366405414,1.0677788156425436,0.005346283316612244,0.0030508888885378838,8000
Marikina Sports Complex,B_candidate,78732,937,0.011901132957374385,0.0136986301369863,1.066321740354009,1.088039413221823,0.009492810815572739,0.006960383150726557,8000
"Monumento, Caloocan",A_high_freq,78732,708,0.008992531626276482,0.0091324200913242,1.0387968099949496,1.1195845479327782,0.003046108642593026,0.0033592148683965206,8000
NASA GSFC Rutgers Calib. N12,B_candidate,78732,20,0.0002540263171264543,0.0009132420091324201,1.0085552731891463,1.0620821860688763,0.0025982740335166454,0.0014642052119597793,8000
"Near Katipunan Ave., Quezon City",A_high_freq,78732,708,0.008992531626276482,0.0091324200913242,1.0504162795465293,1.1526849404778263,0.004756376147270203,0.004249962046742439,8000
Near Puregold Tayuman,A_high_freq,78732,514,0.006528476350149875,0.00821917808219178,1.0656669092517568,1.1383771181574112,0.009958037175238132,0.007983719930052757,8000
Near Sucat Interchange/Exit,A_high_freq,78732,744,0.0094497789971041,0.010958904109589041,1.1217362104868513,1.1259170818917732,0.015565273351967335,0.009641988202929497,8000
North Caloocan Nova Romania - Alora (download airgradient mobile app for realtime data),C_hourly,78732,920,0.011685210587816897,0.012785388127853882,1.0354164448309278,1.0747620046765636,0.009555811062455177,0.006497938185930252,8000
Old Wack Wack Road corner Shaw Boulevard,B_candidate,78732,1013,0.01286643296245491,0.014611872146118721,1.0828895662831677,1.0972863735880323,0.013952088542282581,0.005664889235049486,8000
Ortigas,B_candidate,78732,4,5.080526342529086e-05,0.0009132420091324201,1.009097741696337,1.103317316054759,0.0025039815809577703,0.0027019637636840343,8000
Ortigas Avenue-Roosevelt Intersection,B_candidate,78732,1285,0.01632119087537469,0.02009132420091324,1.0440811454877241,1.0776223843511898,0.01196554210036993,0.002682324731722474,8000
Pateros Bridge,B_candidate,78732,828,0.010516689529035207,0.011872146118721462,1.0266743088133727,1.050828256921982,0.004906601272523403,0.0017325254157185555,8000
Pinya Farm,C_hourly,78732,711,0.00903063557384545,0.01004566210045662,1.0316591710728853,1.0814585778676271,0.003605747129768133,0.0019429215462878346,8000
President Roxas,C_hourly,78732,619,0.00786211451506376,0.0091324200913242,1.0070885086347932,1.026131923663262,0.01220299955457449,0.009867730550467968,8000
"Quezon Rd, San Simon",B_candidate,78732,15,0.00019051973784484072,0.0009132420091324201,1.0111357928936786,1.237656903384319,0.019016707316040993,0.01919953152537346,8000
Rajah Sulayman Park,A_high_freq,78732,427,0.0054234618706498,0.006392694063926941,1.0154339815948108,1.1150790110998532,0.008779708296060562,0.006693661212921143,8000
STRC,C_hourly,78732,738,0.009373571101966164,0.01004566210045662,1.0410529282530636,1.061370421525067,0.003424696158617735,0.0026636840775609016,8000
Samal Municipal Hall,A_high_freq,78732,682,0.008662297414012091,0.010958904109589041,1.062980817726285,1.1964438640408976,0.005332239903509617,0.004707850981503725,8000
San Juan Mini Park,B_candidate,78732,756,0.009602194787379973,0.010958904109589041,1.0567662535345557,1.0951083111652808,0.008089305832982063,0.005975079722702503,8000
San Sebastian Residences,A_high_freq,78732,516,0.006553878981862521,0.00821917808219178,1.0316383899652217,1.0675519610747253,0.006947197485715151,0.004709864966571331,8000
