candidate_id,province,builtup_frac,is_eligible,dist_to_existing_km,lon,lat
36171,Eastern Samar,56.0,True,10.642430618986301,125.73507559757499,11.044339844995905
36857,Leyte,295.0,True,74.4761446573019,124.98826477426898,11.16334799674518
37276,Leyte,532.0,True,72.31727908040953,125.02554407007065,11.216969045533624
37494,Cebu,41.0,True,89.23851300126861,123.72780970207275,11.26777273631091
37532,Leyte,1879.0,True,77.425131711534,124.98950045020084,11.253533972060914
37768,Leyte,736.0,True,112.7642658384222,124.6609891650744,11.29385098305283
38830,Iloilo,1.0,True,24.129351279271468,123.14364979602816,11.471312578240669
39219,Capiz,54.0,True,20.67737882138814,122.77769984612289,11.546051494497577
39226,Iloilo,19.0,True,26.883933640562685,123.14419501877127,11.543585250348675
39462,Capiz,743.0,True,27.63490125399405,122.74137967927504,11.600489954653456
39467,Biliran,3.0,True,147.67039342255654,124.40845449220205,11.585680735383074
39607,Samar (Western Samar),20.0,True,97.52715751065934,125.01284448720477,11.614017383643858
39630,Eastern Samar,2267.0,True,71.77889468746528,125.4335089270527,11.607865026871542
39770,Aklan,134.0,True,66.75210566898102,122.37517276568123,11.692834440312351
39878,Antique,645.0,True,97.8380740888849,122.08185552480411,11.73023799743655
40120,Samar (Western Samar),3965.0,True,120.13744129970884,124.88703404399529,11.778118332624464
40617,Aklan,1254.0,True,122.22831981927445,121.93582786916616,11.947688180926514
40825,Palawan,106.0,True,244.26349902689248,120.20967769952496,12.002321932032302
40934,Masbate,1040.0,True,132.48569615896594,123.99182233510857,12.005612197122852
41322,Samar (Western Samar),1.0,True,166.80266674114733,124.57951233584134,12.070912545849023
41913,Masbate,121.0,True,132.42741877309635,123.86534670221766,12.18752764571396
42013,Masbate,2.0,True,126.32486360751018,123.773752931613,12.206522632999903
42744,Occidental Mindoro,612.0,True,195.3217596546721,121.07293750663318,12.346973898863475
43028,Masbate,3140.0,True,129.49022773660033,123.6284877339825,12.370506508308775
43225,Romblon,913.0,True,149.55248799339694,121.99263843511069,12.41751126535317
43731,Masbate,1.0,True,127.29331943678932,123.39061820484287,12.481087849167881
43958,Northern Samar,30.0,True,190.8060561124961,124.29148845568226,12.507726217364867
43978,Northern Samar,59.0,True,199.08551278216183,124.65882255653678,12.502990184981346
44080,Northern Samar,17.0,True,194.4318547762723,124.7692541240091,12.519512325907014
44612,Sorsogon,125.0,True,173.53203121447729,123.8890721655709,12.67486614641796
45667,Sorsogon,2590.0,True,168.25969955986992,123.98462451165113,12.980780376060663
45844,Sorsogon,31.0,True,169.42563334799235,124.04029174265135,13.016248407209833
45990,Oriental Mindoro,3.0,True,126.29242137398606,121.5157168577912,13.06965542048801
46448,Albay,3455.0,True,136.42023445548293,123.72863491036712,13.146130464655174
46597,Occidental Mindoro,1632.0,True,102.59247962228731,120.61185111529973,13.214479793086808
46949,Albay,12.0,True,113.77322915469414,123.52703893238237,13.256564269679883
47072,Albay,2.0,True,129.79808658562962,123.78534286072669,13.271939116624237
47483,Albay,1.0,True,118.4746794997637,123.71240300997715,13.344965791993298
47666,Camarines Sur,96.0,True,92.430462464964,123.36231264908346,13.384592270150959
47727,Oriental Mindoro,3685.0,True,81.93422095042972,121.18402038464522,13.413587041360737
47861,Camarines Sur,3084.0,True,92.08956407815396,123.41802038462266,13.420194648533721
48008,Marinduque,348.0,True,100.89977004050445,121.83054107414024,13.466535287207412
48161,Oriental Mindoro,29.0,True,66.11143547919498,120.9623927205055,13.504036550188482
48413,Camarines Sur,1735.0,True,71.03909733122553,123.290226553838,13.565907138817282
48549,Catanduanes,69.0,True,149.668281706989,124.23202880456272,13.591618007917269
48603,Camarines Sur,1488.0,True,60.11548953378338,123.17992941087303,13.62109114547841
48606,Camarines Sur,251.0,True,62.81731901039531,123.23533870605918,13.620600681913185
49096,Camarines Sur,1092.0,True,52.1235096133591,123.19923472695258,13.711252121882056
49113,Camarines Sur,14.0,True,75.38188220323704,123.51330548526906,13.708266166682755
49261,Batangas,1493.0,True,42.195091368432,121.07331036681707,13.757124406571029
49512,Batangas,190.0,True,36.05931453148515,121.0178294309616,13.79328878121658
50295,Batangas,355.0,True,21.7325233133159,120.92530634281657,13.90174181923617
50304,Batangas,513.0,True,29.219429965210804,121.091856960115,13.901740690823118
50469,Quezon,259.0,True,35.473183308635406,121.44349321129778,13.919442236183063
50624,Quezon,3374.0,True,47.29645249951768,121.61009619893733,13.937163695179533
50743,Batangas,2905.0,True,26.58678831304536,121.14740649657634,13.955947746664798
50754,Quezon,1657.0,True,26.848517704629348,121.35101378516134,13.955744907291578
