station,cluster,n_bins,anomaly_count,anomaly_freq,anomaly_days_ratio,mean_anomaly_score,max_anomaly_score,train_loss,val_loss,n_train_windows,downtime_ratio,max_continuous_downtime_hours,total_downtime_hours,fft_energy,fft_max_amp,fft_spectral_entropy,model3_risk_score
Marikina Sports Complex,B_candidate,78732,677,0.008598790834730478,0.010958904109589041,1.1112922482424048,1.1261247390278204,0.015999769791960716,0.00795143935829401,8000,0.3009110021023126,22.041666666666668,2178.2083333333335,105066762537.95624,27231.096449715526,8.789375094620922,0.45183361646839615
Along Shaw Blvd.,A_high_freq,78732,666,0.008459076360310928,0.01004566210045662,1.0618430296468724,1.1227725477948935,0.005527525674551725,0.004289731383323669,8000,0.33175728920409775,12.875333333333334,1260.5953333333334,17121411187.315008,10089.058441308085,8.792700709018998,0.4504417572865451
J.P. Rizal Avenue corner Camia,B_candidate,78732,742,0.009424376365391455,0.010958904109589041,1.0493656988221578,1.0808386308094584,0.008376390673220158,0.003169008996337652,8000,0.2852322738386308,22.048333333333336,2000.353333333333,51922816205.625,17453.294610954184,8.6771308249454,0.4485589241846251
Makati Avenue - Buendia Avenue Intersection,B_candidate,78732,726,0.009221155311690292,0.010958904109589041,1.029942264408761,1.065964109049645,0.0026358244940638542,0.002026326721534133,8000,0.2854277747884362,22.048833333333334,1999.0649999999998,54958374478.02608,16534.656985799567,8.796578522805854,0.44692581624603583
Makati Avenue  - Antonio Arnaiz Avenue Intersection,B_candidate,78732,724,0.009195752679977645,0.010958904109589041,1.0414560419170602,1.098705109802092,0.004462757147848606,0.003280367935076356,8000,0.2847042761714369,22.047833333333333,2001.0263333333335,48999249335.73499,16265.781805118258,8.674392109215093,0.44431671904563363
C3 Road (5th Avenue) - Rizal Avenue Extension,B_candidate,78732,640,0.008128842148046538,0.01004566210045662,1.0690031732625904,1.0870188373098668,0.012631809338927269,0.0049274456687271595,8000,0.2952304571401614,22.041999999999998,2133.9279999999994,89426805678.18768,23532.101914056308,9.122302234053034,0.4406496850405829
3S Center Paso De Blas,B_candidate,78732,684,0.008687700045724738,0.01004566210045662,1.0317011913344674,1.0773972457475118,0.009237035177648067,0.0023922615218907595,8000,0.28655660377358494,22.050333333333334,2001.0419999999997,114920928547.39233,27826.316920660684,8.910119604839203,0.43667827098437095
Rajah Sulayman Park,A_high_freq,78732,427,0.0054234618706498,0.006392694063926941,1.0154172027948958,1.1150492322496366,0.005479319021105766,0.002992228837683797,8000,0.47355630135400995,27.540000000000003,1493.3733333333334,15082234070.416718,11689.111735088092,8.482840986527064,0.43496058890411626
Mandaluyong City,A_high_freq,78732,613,0.007785906619925825,0.01004566210045662,1.0374479874021527,1.1311672155392702,0.005998012609779835,0.004213304258882999,8000,0.31854072963518243,11.541666666666666,1211.5,28659360334.708843,18099.297512800775,8.86341595300475,0.4345157634050833
Bataan Tourism Park,A_high_freq,78732,676,0.008586089518874155,0.01004566210045662,1.050387103773573,1.0603942474865615,0.00249339547008276,0.0018748672446236014,8000,0.3305406721870433,12.873666666666667,1268.862,19643106509.795837,17810.46926480024,8.108516589549131,0.43444635406973037
