station,lat,datetime_utc,pm25 in µg/m^3,lon,city,province,population,area_in_sq.km,density_persons/sqkm
3S Center Bagbaguin,14.71405,2025-06-21 12:41:03+00:00,27.09,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 12:58:02+00:00,28.2,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 13:15:01+00:00,33.64,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 13:32:00+00:00,40.41,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 13:48:59+00:00,26.66,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 14:05:58+00:00,40.7,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 14:23:03+00:00,28.39,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 14:40:02+00:00,34.54,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 14:57:00+00:00,26.26,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 15:13:59+00:00,26.27,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 15:30:58+00:00,25.77,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 15:47:57+00:00,24.42,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 16:04:59+00:00,27.31,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 16:21:57+00:00,27.81,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 16:38:56+00:00,31.24,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 16:55:58+00:00,40.29,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 17:12:57+00:00,53.67,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 17:29:56+00:00,49.73,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 17:46:54+00:00,58.73,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 18:03:57+00:00,54.47,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 18:20:56+00:00,61.33,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 18:37:58+00:00,60.84,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 18:54:57+00:00,53.87,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 19:11:59+00:00,34.34,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 19:28:58+00:00,49.67,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 19:45:57+00:00,51.68,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 20:02:56+00:00,62.28,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 20:19:55+00:00,57.97,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 20:36:58+00:00,42.74,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 20:53:57+00:00,43.8,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 21:10:56+00:00,34.89,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 21:27:58+00:00,49.81,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 21:44:57+00:00,51.02,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 22:01:56+00:00,45.63,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 22:18:59+00:00,52.77,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 22:36:01+00:00,45.55,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 22:53:00+00:00,31.45,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 23:09:59+00:00,34.36,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 23:26:58+00:00,34.45,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-21 23:43:57+00:00,36.71,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-22 00:00:59+00:00,30.5,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-22 00:18:01+00:00,49.87,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-22 00:35:00+00:00,40.63,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-22 00:52:00+00:00,34.05,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-22 01:09:02+00:00,38.55,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-22 01:26:01+00:00,33.84,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-22 01:42:59+00:00,31.71,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-22 01:59:58+00:00,27.29,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
